date,PR_uniform,n_long_uniform,n_short_uniform,long_return_uniform,short_return_uniform,PR_adjusted,n_long_adjusted,n_short_adjusted,long_return_adjusted,short_return_adjusted
2015-02-28,0.06602138299487646,7,7,0.08366170736260778,0.017640324367731313,-0.06552362174610986,7,4,0.0686044813626402,0.13412810310875006
2015-03-31,-0.1706417195840191,7,7,0.01044872970243353,0.18109044928645263,-0.08327762275005857,7,4,0.01044872970243353,0.0937263524524921
2015-04-30,0.016734589863488965,7,7,-0.017126305793233525,-0.03386089565672249,0.1043067634957642,7,3,-0.017126305793233525,-0.12143306928899773
2015-05-31,-0.04841071307447707,7,8,0.06421773196007964,0.11262844503455671,-0.09392271320521056,7,5,0.06235536318694452,0.15627807639215507
2015-06-30,-0.02408617116787095,8,9,-0.010523059114721713,0.013563112053149239,0.0022514648080445843,8,5,0.018329819640127986,0.016078354832083402
2015-07-31,0.04067690870361058,8,9,0.02638845754475839,-0.014288451158852189,0.046868767133732565,8,5,0.04893854038575095,0.0020697732520183797
2015-08-31,-0.00999433075759748,7,6,-0.12225296555469302,-0.11225863479709554,0.1210422188239993,7,4,-0.11744364673269679,-0.2384858655566961
2015-09-30,0.18361269305705832,8,5,-0.10883951813796003,-0.29245221119501835,0.04857110164281375,8,4,-0.12673216226941297,-0.17530326391222673
2015-10-31,0.026281125527819714,9,8,0.08100665351436007,0.05472552798654035,-0.020819847228638347,9,6,0.08100665351436007,0.10182650074299841
2015-11-30,0.013219931140809634,9,9,0.00016520289960344508,-0.013054728241206189,0.007828983882678341,9,5,0.00016520289960344508,-0.007663780983074897
2015-12-31,0.02435237192748742,9,9,0.02737069586958128,0.0030183239420938585,0.10139513880358153,9,5,0.043941963383638045,-0.05745317541994348
2016-01-31,0.0343009257422171,9,10,-0.218952563462825,-0.2532534892050421,0.07786924379367319,9,5,-0.21273645865763305,-0.29060570245130624
2016-02-29,0.012344551213300324,10,10,-0.05890026559620996,-0.07124481680951028,-0.012132273301714284,10,6,-0.04766289625364084,-0.035530622951926556
2016-03-31,-0.078391719362731,10,10,-0.014573655746946293,0.06381806361578471,-0.05766265691962352,10,6,-0.009574581814271602,0.04808807510535192
2016-04-30,0.01616641708364706,10,9,0.03783953409418686,0.0216731170105398,0.022858364534251482,10,11,0.03401132997420764,0.011152965439956154
2016-05-31,0.04358268933380295,9,9,0.06883188675135178,0.025249197417548833,0.10993148354642496,9,7,0.05668858366663882,-0.05324289987978614
2016-06-30,-0.09567199764065706,9,9,-0.11243163695249914,-0.01675963931184207,-0.03981604388079053,9,7,-0.1212870534751646,-0.08147100959437406
2016-07-31,-0.005069565189466191,10,9,0.09645586739005979,0.10152543257952598,0.024273960111497253,10,11,0.1300553831930514,0.10578142308155415
2016-08-31,0.020884304651748183,10,9,0.0329593072131759,0.01207500256142772,0.017781056998879947,10,11,0.043151133967260454,0.025370076968380506
2016-09-30,0.00848535920388975,10,7,0.11580982561560427,0.10732446641171452,-0.013151089490307508,10,10,0.08832058857577894,0.10147167806608645
2016-10-31,-0.059246451938944705,10,5,-0.16745935565544043,-0.10821290371649572,-0.01581095622421086,10,8,-0.17552519620793877,-0.1597142399837279
2016-11-30,0.09931624295869967,10,6,0.16884838909818775,0.06953214613948808,-0.019095239777786654,9,7,0.14562815902529933,0.16472339880308598
2016-12-31,-0.049627320989235724,10,6,-0.02361847493938206,0.02600884604985367,-0.015364056649036641,10,7,-0.024423822174277486,-0.009059765525240845
2017-01-31,0.04661379892464765,10,7,0.06716443323101656,0.020550634306368915,0.02173841657580914,10,6,0.06972085696181408,0.047982440386004944
2017-02-28,0.001781899249118514,11,8,0.05269136943452018,0.050909470185401665,0.024872143369451892,11,8,0.041023097947582916,0.016150954578131024
2017-03-31,-0.14310471965189442,11,7,0.05759745559194149,0.2007021752438359,-0.09529368077417036,11,7,-0.06696032199554948,0.028333358778620883
2017-04-30,0.004869153800525081,11,7,0.009290619863664267,0.0044214660631391855,0.04277652276194818,11,7,0.03442716768191267,-0.008349355080035517
2017-05-31,0.13641804228460558,11,8,-0.01763384883703967,-0.15405189112164525,0.07675499827416525,11,6,-0.03537513004265294,-0.11213012831681819
2017-06-30,-0.0020493063824316704,13,13,0.09511798206172568,0.09716728844415735,-0.1545389598804328,13,8,0.11200314369534436,0.2665421035757772
2017-07-31,-0.008375188790210687,13,11,0.04593965776525889,0.05431484655546958,0.07726541450229504,13,7,0.045954197550584656,-0.031311216951710394
2017-08-31,-0.09719937710711092,14,7,0.028085116507426993,0.12528449361453792,-0.11327581905738525,14,8,0.03245994858808017,0.14573576764546542
2017-09-30,-0.35365219588029984,14,12,-0.016061698683141605,0.3375904971971582,-0.14343374046570212,14,8,-0.004129695326449722,0.1393040451392524
2017-10-31,-0.2097677433352975,14,10,-0.06114889331232217,0.1486188500229753,-0.08443428303961026,14,7,-0.03638324170148207,0.048051041338128195
2017-11-30,-0.06457425709863263,16,11,-0.026421764746497926,0.0381524923521347,-0.042241957513748415,14,7,0.001987466264203239,0.04422942377795165
2017-12-31,-0.07139114261151003,15,14,-0.002007031726668597,0.06938411088484144,-0.009118325113638569,15,9,0.00877939580995562,0.01789772092359419
2018-01-31,-0.08155450139960563,15,15,0.111600788593295,0.19315528999290063,-0.0537527982995686,15,8,0.07249869427523827,0.12625149257480686
2018-02-28,-0.06594077615931332,16,14,-0.04088009408089646,0.025060682078416854,-0.08777859320082418,16,10,-0.0641351114400687,0.02364348176075548
