nct_id,sponsor_name,best_match_ticker,best_match_alias,match_score,confirmed_ticker
NCT00794664,"Kastle Therapeutics, LLC",STOK,STOKE THERAPEUTICS INC,86.48648648648648,
NCT01414881,"Kastle Therapeutics, LLC",STOK,STOKE THERAPEUTICS INC,86.48648648648648,
NCT01061814,"Kastle Therapeutics, LLC",STOK,STOKE THERAPEUTICS INC,86.48648648648648,
NCT03455777,Akcea Therapeutics,AKBA,AKEBIA THERAPEUTICS INC,91.89189189189189,
NCT00707746,"Kastle Therapeutics, LLC",STOK,STOKE THERAPEUTICS INC,86.48648648648648,
NCT00706849,"Kastle Therapeutics, LLC",STOK,STOKE THERAPEUTICS INC,86.48648648648648,
NCT01090661,"Kastle Therapeutics, LLC",STOK,STOKE THERAPEUTICS INC,86.48648648648648,
NCT02527343,Akcea Therapeutics,AKBA,AKEBIA THERAPEUTICS INC,91.89189189189189,
NCT00362180,"Kastle Therapeutics, LLC",STOK,STOKE THERAPEUTICS INC,86.48648648648648,
NCT00280995,"Kastle Therapeutics, LLC",STOK,STOKE THERAPEUTICS INC,86.48648648648648,
NCT01299298,"Kastle Therapeutics, LLC",STOK,STOKE THERAPEUTICS INC,86.48648648648648,
NCT00694109,"Kastle Therapeutics, LLC",STOK,STOKE THERAPEUTICS INC,86.48648648648648,
NCT00216463,"Kastle Therapeutics, LLC",STOK,STOKE THERAPEUTICS INC,86.48648648648648,
NCT02658175,Akcea Therapeutics,AKBA,AKEBIA THERAPEUTICS INC,91.89189189189189,
NCT00607373,"Kastle Therapeutics, LLC",STOK,STOKE THERAPEUTICS INC,86.48648648648648,
NCT00281008,"Kastle Therapeutics, LLC",STOK,STOKE THERAPEUTICS INC,86.48648648648648,
NCT03514420,Akcea Therapeutics,AKBA,AKEBIA THERAPEUTICS INC,91.89189189189189,
NCT06045299,Corxel Pharmaceuticals,CRVS,CORVUS PHARMACEUTICALS INC,86.36363636363636,
NCT06270030,Corxel Pharmaceuticals,CRVS,CORVUS PHARMACEUTICALS INC,86.36363636363636,
NCT05174169,NRG Oncology,CGON,CG ONCOLOGY INC,86.95652173913044,
NCT01221246,"Genervon Biopharmaceuticals, LLC",REGN,REGENERON PHARMACEUTICALS INC,88.46153846153845,
NCT04868292,Spero Therapeutics,KROS,KEROS THERAPEUTICS INC,88.88888888888889,
NCT01750684,Acorda Therapeutics,DMRA,DAMORA THERAPEUTICS INC,89.47368421052632,
NCT04865393,Spero Therapeutics,KROS,KEROS THERAPEUTICS INC,88.88888888888889,
NCT05735249,"Arisan Therapeutics, Inc.",ACRS,ACLARIS THERAPEUTICS INC,87.17948717948718,
NCT04246281,"SPR Therapeutics, Inc.",SYRE,SPYRE THERAPEUTICS INC,94.11764705882352,
NCT01996254,"SPR Therapeutics, Inc.",SYRE,SPYRE THERAPEUTICS INC,94.11764705882352,
NCT04341948,"SPR Therapeutics, Inc.",SYRE,SPYRE THERAPEUTICS INC,94.11764705882352,
NCT06814717,"Neomatrix Therapeutics, Inc.",NRIX,NURIX THERAPEUTICS INC,85.0,
NCT00692354,Chroma Therapeutics,CMPX,COMPASS THERAPEUTICS INC,87.17948717948718,
NCT06223009,"Neomatrix Therapeutics, Inc.",NRIX,NURIX THERAPEUTICS INC,85.0,
NCT06070051,Virion Therapeutics,VRDN,VIRIDIAN THERAPEUTICS INC,90.0,
NCT01348100,Novartis Pharmaceuticals,SPRY,ARS PHARMACEUTICALS INC,88.37209302325581,
NCT03163511,ViaCyte,PCVX,VAXCYTE INC,85.71428571428572,
NCT03821233,Zymeworks BC Inc.,ZYME,ZYMEWORKS INC,85.71428571428572,
NCT07164313,Zymeworks BC Inc.,ZYME,ZYMEWORKS INC,85.71428571428572,
NCT06523803,Zymeworks BC Inc.,ZYME,ZYMEWORKS INC,85.71428571428572,
NCT06555744,Zymeworks BC Inc.,ZYME,ZYMEWORKS INC,85.71428571428572,
