date,alpha,ff5_explained,pr_attr,residual,ibb_excess,pr_attr_rolling,beta_pr_rolling
2015-02-28,-0.004211610376735051,0.06843817682733332,0.009336860596334436,-0.0243794688841419,0.0491839581627908,0.009336860596334436,0.10844609266195399
2015-03-31,-0.004211610376735051,0.009701347562817665,-0.013878980997906748,0.026050220593427733,0.0176609767816036,-0.013878980997906748,0.10844609266195399
2015-04-30,-0.004211610376735051,-0.027106757923731458,-0.0018995204887604273,0.004769527218199837,-0.0284483615710271,-0.0018995204887604273,0.10844609266195399
2015-05-31,-0.004211610376735051,0.027534500854189976,-0.0003996541191772101,0.07109457448324999,0.0940178108415277,-0.0003996541191772101,0.10844609266195399
2015-06-30,-0.004211610376735051,0.002893259917451904,-0.0014651026827708774,0.013577123446057923,0.0107936703040039,-0.0014651026827708774,0.10844609266195399
2015-07-31,-0.004211610376735051,0.000695832591992452,0.004078487865612697,0.036345170722750106,0.0369078808036202,0.004078487865612697,0.10844609266195399
2015-08-31,-0.004211610376735051,-0.06912368928313704,0.0031261963562848705,-0.035769589153927174,-0.1059786924575144,0.0031261963562848705,0.10844609266195399
2015-09-30,-0.004211610376735051,-0.05797972334576434,0.017542109217788003,-0.06839470392339661,-0.113043928428108,0.017542109217788003,0.10844609266195399
2015-10-31,-0.004211610376735051,0.06189420037666196,0.0027672804829428376,0.012513364550781348,0.0729632350336511,0.0027672804829428376,0.10844609266195399
2015-11-30,-0.004211610376735051,0.0338344563089058,0.004903696552177117,-0.0071500730638833655,0.0273764694204645,0.004903696552177117,0.10844609266195399
2015-12-31,-0.004211610376735051,-0.024648899154196904,0.004727779133741134,0.03587593732380662,0.0117432069266158,0.004727779133741134,0.10844609266195399
2016-01-31,-0.004211610376735051,-0.0870581789966673,-0.008911370227252084,-0.11052621538860004,-0.2107073749892545,-0.008911370227252084,0.10844609266195399
2016-02-29,-0.004211610376735051,0.005393385324206228,0.0012777243321895157,-0.05118942099832339,-0.0487299217186627,0.0012777243321895157,0.10844609266195399
2016-03-31,-0.004211610376735051,0.06281403857921769,-0.0034261649324747443,-0.02892912248463049,0.0262471407853774,-0.0034261649324747443,0.10844609266195399
2016-04-30,-0.004211610376735051,0.011950653876679991,-0.002009362860248414,0.02214457438133518,0.0278742550210317,-0.002009362860248414,0.10844609266195399
2016-05-31,-0.004211610376735051,0.01708175454143663,-0.0023626972501359592,0.033505030423578774,0.044012477338144396,-0.0023626972501359592,0.10844609266195399
2016-06-30,-0.004211610376735051,0.013641464601068317,-0.012923606489107925,-0.07687934056182165,-0.08037309282659631,-0.012923606489107925,0.10844609266195399
2016-07-31,-0.004211610376735051,0.05282684652333198,0.005104190447789584,0.07152329176091211,0.1252427183552986,0.005104190447789584,0.10844609266195399
2016-08-31,-0.004211610376735051,0.0006731708874534331,0.002155534221652058,-0.028357065674453542,-0.0297399709420831,0.002155534221652058,0.10844609266195399
2016-09-30,-0.004211610376735051,0.028231365067060938,0.003278717882905629,0.0030114755596309857,0.030309948132862502,0.003278717882905629,0.10844609266195399
2016-10-31,-0.004211610376735051,-0.07212359272305038,-0.007913187372899979,-0.028940996304461494,-0.1131893867771469,-0.007913187372899979,0.10844609266195399
2016-11-30,-0.004211610376735051,0.05475801528283587,0.011979270566027355,0.005124274365147114,0.06764994983727529,0.011979270566027355,0.10844609266195399
2016-12-31,-0.004211610376735051,-0.005828619021789791,-0.00819860593534543,-0.013768490095543429,-0.0320073254294137,-0.00819860593534543,0.10844609266195399
2017-01-31,-0.004211610376735051,0.02347390800888779,0.005095903536303556,0.023419910698562207,0.047778111867018504,0.005095903536303556,0.10844609266195399
2017-02-28,-0.004211610376735051,0.020010524663125237,0.0002424589279830686,0.052462399333167056,0.06850377254754031,0.0002424589279830686,0.10844609266195399
2017-03-31,-0.004211610376735051,0.021386792823932986,-0.015623325537480998,-0.015174902473676938,-0.01362304556396,-0.015623325537480998,0.10844609266195399
2017-04-30,-0.004211610376735051,0.014282319088297926,0.005799754489929071,-0.0004186120155553483,0.015451851185936599,0.005799754489929071,0.10844609266195399
2017-05-31,-0.004211610376735051,0.004925707357475796,0.01224544737252969,-0.053507080649486644,-0.040547536296216206,0.01224544737252969,0.10844609266195399
2017-06-30,-0.004211610376735051,0.021723187612748197,0.0007594275276291989,0.06627315902289876,0.0845441637865411,0.0007594275276291989,0.10844609266195399
2017-07-31,-0.004211610376735051,0.010218718418042968,0.0011707100605992447,0.021749447755351335,0.0289272658572585,0.0011707100605992447,0.10844609266195399
2017-08-31,-0.004211610376735051,-0.006228304402381042,-0.010165394839744896,0.06439470969758729,0.0437894000787263,-0.010165394839744896,0.10844609266195399
2017-09-30,-0.004211610376735051,0.04585753319959478,-0.015095049484376255,-0.02673060228378607,-0.00017972894530259996,-0.015095049484376255,0.10844609266195399
2017-10-31,-0.004211610376735051,-0.005638203830991654,-0.023231690140361264,-0.02566531293426283,-0.058746817282350795,-0.023231690140361264,0.10844609266195399
2017-11-30,-0.004211610376735051,0.017548794621801804,-0.007693439834206406,-0.0014150402142577472,0.0042287041966025994,-0.007693439834206406,0.10844609266195399
2017-12-31,-0.004211610376735051,0.006869350895437479,-0.006936080604813599,0.017788392209501673,0.0135100521233905,-0.006936080604813599,0.10844609266195399
2018-01-31,-0.004211610376735051,0.03841258888185701,-0.009613201240474496,0.04403051838263314,0.0686182956472806,-0.00925011113158069,0.10435008940468801
2018-02-28,-0.004211610376735051,-0.035334202611395506,-0.010617108816748162,-0.0035316634714617767,-0.053694585276340495,-0.013282225879619067,0.13566833714899645
2018-03-31,-0.004211610376735051,0.004101372047308786,0.010897726038584883,-0.02438586249943282,-0.0135983747902742,0.014352433048147312,0.14282477635728746
2018-04-30,-0.004211610376735051,0.016967974851785153,-0.0172873010984281,-0.0258178488515152,-0.030348785474893197,-0.0260080674261311,0.16315289899757807
2018-05-31,-0.004211610376735051,0.07532476544933583,-0.016761195120675615,-0.009442278666141668,0.0449096812857835,-0.028048807494734578,0.18147772606495893
2018-06-30,-0.004211610376735051,0.021888694225635687,-0.00998739060528303,0.003542774564225193,0.011232467807842799,-0.01609866283440709,0.17480412556911218
2018-07-31,-0.004211610376735051,0.011151433780392449,0.0045077164456378245,0.049192018022066686,0.0606395578713619,0.007631064388806798,0.18358721667568928
2018-08-31,-0.004211610376735051,0.05249701120054875,-0.007194114988059357,0.006239954653083363,0.0473312404888377,-0.012124734344527573,0.18277162186184454
2018-09-30,-0.004211610376735051,-0.0031369722974122,-0.009079095497433017,0.012881676331669869,-0.0035460018399104,-0.018585354433553185,0.22199447837355846
2018-10-31,-0.004211610376735051,-0.11177971465148526,0.0019870682143135095,-0.0342160854704487,-0.14822034228435552,0.004251170418997846,0.23201157255674382
2018-11-30,-0.004211610376735051,0.011943681925424231,-0.0031655741245463103,0.04196634483275602,0.046532842256898896,-0.007127504859595597,0.24417373343390292
2018-12-31,-0.004211610376735051,-0.09605848014666131,0.006736178770679505,-0.024497947484273242,-0.1180318592369901,0.014568176910696212,0.23453383839065378
2019-01-31,-0.004211610376735051,0.09681507304644844,-0.0033728524557177595,0.04617837488478709,0.1354089850987827,-0.006770178002168539,0.21767905966845819
2019-02-28,-0.004211610376735051,0.05375763119818397,0.00446412768940353,-0.028004582160019748,0.0260055663508327,0.008280001747373852,0.2011442994491993
2019-03-31,-0.004211610376735051,0.006654205979076548,-0.001399421405349707,-0.01128092728750159,-0.0102377530905098,-0.0025707048809377217,0.19921297377543212
2019-04-30,-0.004211610376735051,0.004740813156827292,-0.007989520391738359,-0.04169832897494888,-0.049158646586594995,-0.015149303195518533,0.20562970711033884
2019-05-31,-0.004211610376735051,-0.053226971156086766,0.0019785930660572823,-0.007154782645604773,-0.06261477111236931,0.003745592119869792,0.20529478096004017
2019-06-30,-0.004211610376735051,0.06789192783188816,-0.007176153645817298,0.03291380130126389,0.0894179651105997,-0.01114715950306457,0.16845596569570698
2019-07-31,-0.004211610376735051,-0.0016709784381868517,-0.0014704707341569006,-0.0253256440686342,-0.032678703617713,-0.0019198549908255205,0.1415878380959087
2019-08-31,-0.004211610376735051,-0.020249892789621003,0.0036130636464639892,-0.006589102229056638,-0.0274375417489487,0.0050684919507571384,0.15213076810482223
2019-09-30,-0.004211610376735051,-0.019272605927261256,-0.012798908718288987,0.0011593106866746878,-0.035123814335610605,-0.017510583837845223,0.14836846165879503
2019-10-31,-0.004211610376735051,0.02790507366762498,0.0038194660893995877,0.05051379245223768,0.0780267218325272,0.005661055185947018,0.16073432801602705
2019-11-30,-0.004211610376735051,0.05219717675920553,0.008032662917725475,0.057463944534062936,0.11348217383425889,0.013453549198906102,0.18163152842343513
2019-12-31,-0.004211610376735051,0.02607087788483331,0.005960038294273604,-0.02203154508705336,0.0057877607153185,0.008817516036350484,0.16043943241859193
2020-01-31,-0.004211610376735051,0.004214248653817274,-0.011865581884872294,-0.04409003705854803,-0.0559529806663381,-0.02070591483733563,0.18924276793901162
