date,strategy_return,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_PR_uniform_excl,beta_const
2015-02-28,,,,,,,,
2015-03-31,,,,,,,,
2015-04-30,,,,,,,,
2015-05-31,,,,,,,,
2015-06-30,,,,,,,,
2015-07-31,,,,,,,,
2015-08-31,,,,,,,,
2015-09-30,,,,,,,,
2015-10-31,,,,,,,,
2015-11-30,,,,,,,,
2015-12-31,,,,,,,,
2016-01-31,,,,,,,,
2016-02-29,0.008089086415268246,1.0046187474012491,0.3700522505248778,-1.4935481854757744,-1.8428587621176662,-0.3838787884342185,-0.1414205588218159,-0.009769356073362444
2016-03-31,-0.019582822856591586,1.0302493120314757,0.485455822666557,-1.6056100360976693,-1.6198317918014564,-0.23623146242854035,-0.12610022048587508,-0.008868581208686676
2016-04-30,0.022831186200898728,0.9751496764079377,0.47169665776672615,-1.6980530558742362,-1.6899665488823656,-0.17623730902299492,-0.11798874106474341,-0.009732341874165183
2016-05-31,-0.016787353298950355,0.9876795685228582,0.43455544646739597,-1.650304650361024,-2.0266521020782235,0.1226271800481619,-0.1130371034243092,-0.0071162121016990505
2016-06-30,-0.0819178598298062,0.99107812729943,0.4557985986367027,-1.6700847635358298,-2.0203113476077883,0.22831515214497056,-0.10042665822976751,-0.007739329319925974
2016-07-31,0.08296691533722778,0.9862077794746446,0.3984233955744813,-1.1000782380967173,-1.9499504069287443,-0.4725464495213273,-0.010075743787338507,-0.01237078991241967
2016-08-31,-0.04219104172220649,1.0897486186042644,0.7780367514443652,-1.0611988581908824,-1.3573319006871276,-0.7570155880347632,0.052100566400633805,-0.009129930535612407
2016-09-30,-0.029729660819875187,1.0875135477672284,0.7673461559743379,-1.2556654390933624,-1.3056975621661144,-0.640895432671745,0.048329737935395495,-0.010998576902347137
2016-10-31,-8.344307309332555e-05,1.1017447202149238,0.7399410596882453,-1.1569650562027516,-1.1821542755594625,-0.7842612361178767,0.034516317843203595,-0.012100440927503626
2016-11-30,0.08446346539167551,1.101929704789061,0.6944730271451652,-1.0751854959453433,-1.1621116412283785,-0.8692350202439978,0.020565142605666175,-0.011618349105379752
2016-12-31,-0.020294616408733774,1.2110002681760472,0.9106016362595497,-0.7715584249040184,-1.0367270443791887,-0.6218848813321798,0.1011008650336639,-0.010485703940197159
2017-01-31,0.004103164785872235,1.209618945710483,0.909706974740572,-0.7800244151230314,-1.0450650341367338,-0.6084541923711445,0.10289193832939145,-0.010521453280622503
2017-02-28,0.028258516445306872,1.2129234249030576,0.9008152178405779,-0.7992885490455226,-1.0601911802997503,-0.5937087002319017,0.10620328887183139,-0.010050684196777045
2017-03-31,-0.04840413552592317,1.2532264631180805,0.8574480016901709,-0.7804843043939147,-1.0160901665100164,-0.6979984920717771,0.10145654054579867,-0.009059077046472637
2017-04-30,-0.008946735711266366,1.25684250858594,0.8214644514066514,-0.7315371689926742,-1.0373963175785736,-0.6893478546258966,0.1269595206425931,-0.010057832889475007
2017-05-31,-0.0582092932942685,1.2590918454055862,0.8118710826785237,-0.729985651837837,-1.0632517338174665,-0.6689855354751699,0.1242825127753068,-0.010200779755894522
2017-06-30,0.03750459286510326,1.2663657274182754,0.8601860541506499,-0.634680039375972,-1.118559488486383,-0.6850354154344169,0.07698647931802846,-0.012124539902841897
2017-07-31,0.007906032151476134,1.2468075852947365,0.8842197887477902,-0.6301700753569616,-1.2864707573611358,-0.6563558561170585,0.07648617655517956,-0.00999249456661998
2017-08-31,0.031467912685950256,1.256573137564254,0.8564218602828735,-0.6355889899542856,-1.3274710025225862,-0.6239106011494087,0.07613631672921714,-0.00940804376232478
2017-09-30,-0.05915580783448501,1.2473452662858582,0.8407987809353408,-0.6021331338585554,-1.3074096409934437,-0.8142180962338734,0.044744150245836035,-0.008266336925951367
2017-10-31,-0.08700314560710458,1.2209324664804608,0.7940504394791257,-0.6021206030505452,-1.2352287346039597,-0.8948589925260144,0.07835542709853555,-0.0095056673572551
2017-11-30,0.011963064720325718,1.1897726108941615,0.8203998516157213,-0.7473697950875957,-1.3468665130725193,-0.5546624039533105,0.13117932243181085,-0.009355320743983878
2017-12-31,0.028758214592721976,1.2192191051999053,0.8381109257965228,-0.7425249622815119,-1.2162457498505024,-0.5654672518736066,0.12502746379017246,-0.009084211872595045
2018-01-31,0.0004166836922982614,1.247427871327553,0.7854933621679158,-0.8085016085198983,-1.2592735360154985,-0.35168580075391276,0.11132691338610051,-0.007622521623246058
2018-02-28,-0.019433859511085318,1.2776091700704146,0.7453619277694998,-0.8137250058122268,-1.3010972484076326,-0.32435838235243925,0.10435008940468801,-0.007489008261229604
2018-03-31,-0.015393973071650245,1.3827221637085358,0.754808983822256,-0.8460562369848527,-1.36057096438469,-0.3926177988776134,0.13566833714899645,-0.006043982686613093
2018-04-30,-0.06499371444819041,1.4361825785180677,0.6445296093750558,-0.8026311360535684,-1.3847103464284838,-0.36389995083294985,0.14282477635728746,-0.007844016921898709
