date,cum_alpha,sumcum_alpha,cum_ff5_explained,sumcum_ff5_explained,cum_pr_attr,sumcum_pr_attr,cum_residual,sumcum_residual,cum_ibb_excess,sumcum_ibb_excess,cum_pr_attr_rolling
2015-02-28,-0.004211610376735009,-0.004211610376735051,0.06843817682733322,0.06843817682733332,0.009336860596334429,0.009336860596334436,-0.024379468884141886,-0.0243794688841419,0.049183958162790864,0.0491839581627908,0.009336860596334429
2015-03-31,-0.008405483091504573,-0.008423220753470103,0.0788034669301183,0.07813952439015098,-0.004671706512368923,-0.004542120401572312,0.0010356611669033455,0.001670751709285833,0.06771357168753478,0.0668449349443944,-0.004671706512368923
2015-04-30,-0.012581692848429915,-0.012634831130205155,0.049560602504761464,0.05103276646641952,-0.00656235299889163,-0.006441640890332739,0.005810127999227532,0.00644027892748567,0.037338869945874986,0.038396573373367306,-0.00656235299889163
2015-05-31,-0.016740314037007598,-0.016846441506940205,0.07845972981095306,0.0785672673206095,-0.006959384446661332,-0.006841295009509949,0.07731777106027593,0.07753485341073565,0.13486719959901028,0.13241438421489501,-0.006959384446661332
2015-06-30,-0.020881420733434575,-0.021058051883675256,0.08157999411980099,0.0814605272380614,-0.008414290916608946,-0.008306397692280827,0.09194464742859343,0.09111197685679358,0.1471165819903102,0.14320805451889893,-0.008414290916608946
2015-07-31,-0.025005086701927692,-0.025269662260410306,0.08233259273055649,0.08215635983005384,-0.004370120634397456,-0.004227909826668129,0.1316315620591788,0.12745714757954368,0.1894542240662649,0.18011593532251913,-0.004370120634397456
2015-08-31,-0.029111385396037748,-0.029481272637145357,0.007517770889637454,0.0130326705469168,-0.0012575861333162797,-0.0011017134703832586,0.09115356601070523,0.09168755842561652,0.06339742066165477,0.07413724286500473,-0.0012575861333162797
2015-09-30,-0.033200389959957666,-0.03369288301388041,-0.05089783073248488,-0.04494705279884754,0.01626246237117046,0.016440395747404746,0.016524440928444628,0.023292854502219906,-0.05681320125025591,-0.03890668556310327,0.01626246237117046
2015-10-31,-0.03727217322982568,-0.03790449339061546,0.007846089110083332,0.016947147577814424,0.0190747456488376,0.019207676230347585,0.02924458183256151,0.035806219053001256,0.012004758827558693,0.03405654947054783,0.0190747456488376
2015-11-30,-0.04132680773502251,-0.04211610376735051,0.041946013578180175,0.05078160388672023,0.02407197896548663,0.024111372782524704,0.02188540787185267,0.028656145989117893,0.039709876160965996,0.061433018891012325,0.02407197896548663
2015-12-31,-0.04536436569946334,-0.04632771414408556,0.01626319136537413,0.026132704732523323,0.028913565099088823,0.028839151916265838,0.058546504716775916,0.06453208331292451,0.05191940438037035,0.07317622581762813,0.028913565099088823
2016-01-31,-0.049384919042884445,-0.05053932452082061,-0.07221083145623697,-0.06092547426414398,0.019744535388648954,0.019927781689013754,-0.05845063426240027,-0.04599413207567553,-0.1697277720168776,-0.13753114917162634,0.019744535388648954
2016-02-29,-0.05338853938212418,-0.05475093489755566,-0.06720690697065546,-0.055532088939937746,0.021047487794132236,0.02120550602120327,-0.1066480011358466,-0.09718355307399892,-0.2101868726916749,-0.18626107089028904,0.021047487794132236
2016-03-31,-0.057375298032398714,-0.05896254527429071,-0.008614405638682321,0.007281949639279944,0.017549210697060502,0.017779341088728525,-0.13249189053287724,-0.12611267555862943,-0.18945653634507398,-0.16001393010491163,0.017549210697060502
2016-04-30,-0.06134526600857226,-0.06317415565102577,0.003233300457856414,0.019232603515959935,0.015504585104610724,0.01576997822848011,-0.1132812926763711,-0.10396810117729424,-0.16686324113352613,-0.13213967508387994,0.015504585104610724
2016-05-31,-0.06529851402642195,-0.06738576602776082,0.020370285444072822,0.036314358057396565,0.013105255213883726,0.013407280978344151,-0.08357175541033657,-0.07046307075371547,-0.13019482841434027,-0.08812719774573555,0.013105255213883726
2016-06-30,-0.06923511250389791,-0.07159737640449587,0.0342896305729401,0.049955822658464884,1.2281563452232191e-05,0.0004836744892362261,-0.15402615452661772,-0.1473424113155371,-0.2001037602112481,-0.16850029057233185,1.2281563452232191e-05
