year,ibb_excess,ff5_explained,strategy_rolling,strategy_static
2015,0.05191940438037035,0.01626319136537413,,0.04189027380590793
2016,-0.21605558501925826,0.07270487046497687,-0.024328094061193295,-0.25605570548862455
2017,0.2003419463752536,0.18780482696123002,-0.11546431998848194,0.0101880990430665
2018,-0.11060400441355056,-0.031131508155402776,-0.11916468504831879,-0.07626045212331711
2019,0.22696622343399286,0.258190802752744,-0.15625905279203234,-0.017494632310253166
2020,0.25502930979562577,0.5291962091711748,-0.2345862260590612,-0.19976639509274197
2021,0.009555012444340427,0.031011008661190997,0.0344143759438047,-0.02236915687892338
2022,-0.1491659344151478,-0.2946664877486401,0.20879195610173018,0.1874923360859675
2023,-0.011506646294856093,0.15247121026787536,-0.10043191260653284,-0.1548105284414868
2024,-0.07267140212368639,0.09718452193148175,-0.1201030293182076,-0.16111652955856137
