date,ticker,return
2021-07-31,ATAI,-0.1621621621621621
2021-08-31,ATAI,0.0567741394042968
2021-09-30,ATAI,-0.0970695531366047
2021-10-31,ATAI,-0.0135226375781598
2021-11-30,ATAI,-0.2474297856474827
2021-12-31,ATAI,-0.3051001427558444
2022-01-31,ATAI,-0.301441698065216
2022-02-28,ATAI,0.076923049396036
2022-03-31,ATAI,-0.1132403561757724
2022-04-30,ATAI,-0.1571709561399761
2022-05-31,ATAI,-0.0722610595655202
2022-06-30,ATAI,-0.085427113703497
2022-07-31,ATAI,0.0604395010580478
2022-08-31,ATAI,0.1658031404916105
2022-09-30,ATAI,-0.264444457160102
2022-10-31,ATAI,-0.1087612994922044
2022-11-30,ATAI,0.1966101404511704
2022-12-31,ATAI,-0.2464588930907443
2023-01-31,ATAI,-0.3308271000172181
2023-02-28,ATAI,-0.0561797895781879
2023-03-31,ATAI,0.0773809519585837
2023-04-30,ATAI,0.055248633703431
2023-05-31,ATAI,-0.0628272287253699
2023-06-30,ATAI,-0.0391061087902667
2023-07-31,ATAI,0.2151162089561382
2023-08-31,ATAI,-0.2679425673575292
2023-09-30,ATAI,-0.1568627542644591
2023-10-31,ATAI,-0.0465115849254397
2023-11-30,ATAI,-0.1544715888407701
2023-12-31,ATAI,0.3557692484037418
2024-01-31,ATAI,0.2624113571115571
2024-02-29,ATAI,0.0898876901137055
2024-03-31,ATAI,0.0154639023221232
2024-04-30,ATAI,0.0050761372172727
2024-05-31,ATAI,-0.2070706882181004
2024-06-30,ATAI,-0.1528662430054711
2024-07-31,ATAI,0.1654134603775672
2024-08-31,ATAI,-0.1612903275425303
2024-09-30,ATAI,-0.1076923006385033
2024-10-31,ATAI,-0.0862069195856244
2024-11-30,ATAI,0.6792453466763773
2024-12-31,ATAI,-0.2528089526445778
2017-06-30,ALT,-0.2470588235294117
2017-07-31,ALT,-0.2125000158945719
2017-08-31,ALT,0.0
2017-09-30,ALT,-0.079365080966951
2017-10-31,ALT,0.0344827813002219
2017-11-30,ALT,-0.2458333439297146
2017-12-31,ALT,0.0994475433103381
2018-01-31,ALT,-0.0904522857097033
2018-02-28,ALT,-0.1270717828384846
2018-03-31,ALT,-0.2658228245401881
2018-04-30,ALT,-0.3749999862977825
2018-05-31,ALT,-0.1586207247328483
2018-06-30,ALT,-0.270491752019653
2018-07-31,ALT,-0.2516854317858569
2018-08-31,ALT,-0.0390389788372123
2018-09-30,ALT,-0.5416666749450892
2018-10-31,ALT,-0.1340909408636322
2018-11-30,ALT,-0.0577427905286872
2018-12-31,ALT,-0.4261838462310372
2019-01-31,ALT,0.5485437601110892
2019-02-28,ALT,-0.1567398091007135
2019-03-31,ALT,0.0780669270185676
2019-04-30,ALT,-0.0137931720538575
2019-05-31,ALT,-0.1503495958429801
2019-06-30,ALT,-0.0205761114990454
2019-07-31,ALT,0.0084033529263976
2019-08-31,ALT,-0.1208334119783476
2019-09-30,ALT,-0.075829315339773
2019-10-31,ALT,-0.0205128615816345
2019-11-30,ALT,-0.0471203747340961
2019-12-31,ALT,0.0384615006733031
2020-01-31,ALT,-0.0899470679213538
2020-02-29,ALT,1.1511627826386368
2020-03-31,ALT,-0.1324324333032088
2020-04-30,ALT,-0.0498442629063179
2020-05-31,ALT,2.042622910837625
2020-06-30,ALT,0.1540948649055549
2020-07-31,ALT,1.481792701123546
2020-08-31,ALT,-0.365312231465153
2020-09-30,ALT,-0.217545989768607
2020-10-31,ALT,-0.1325757594914257
2020-11-30,ALT,0.0681222485558497
2020-12-31,ALT,-0.077677828685464
2021-01-31,ALT,0.2659574531044593
2021-02-28,ALT,0.116246490087764
2021-03-31,ALT,-0.1135507850432991
2021-04-30,ALT,0.0240622894433248
2021-05-31,ALT,-0.1257775131245553
2021-06-30,ALT,-0.2213438198811472
2021-07-31,ALT,-0.0791878839023073
2021-08-31,ALT,0.6527012431623547
2021-09-30,ALT,-0.245496958485074
2021-10-31,ALT,-0.0450928567603996
2021-11-30,ALT,-0.0287037420501754
2021-12-31,ALT,-0.12678741208059
2022-01-31,ALT,-0.1189956518280771
2022-02-28,ALT,-0.0817843708018238
2022-03-31,ALT,-0.1781376143057842
2022-04-30,ALT,-0.2577996933208974
2022-05-31,ALT,0.1194690186132119
