date,IBB_return,XBI_return
2015-02-28,0.049183958162790864,0.07503108914688483
2015-03-31,0.01766097678160361,0.05064531259580107
2015-04-30,-0.028448361571027148,-0.08406823033995248
2015-05-31,0.09401781084152772,0.1543158343357156
2015-06-30,0.01079367030400391,0.05907577146903065
2015-07-31,0.036907880803620285,0.014454722086632898
2015-08-31,-0.10597869245751446,-0.13055953866389114
2015-09-30,-0.11304392842810806,-0.15912449668109951
2015-10-31,0.0729632350336511,0.07103264083548066
2015-11-30,0.027376469420464566,0.08494727286076054
2015-12-31,0.01184320692661589,-0.02891169615140876
2016-01-31,-0.21060737498925453,-0.27835529965207473
2016-02-29,-0.04852992171866277,-0.052423450941904925
2016-03-31,0.026447140785377465,0.07849661385490792
2016-04-30,0.02797425502103179,0.04519226406767496
2016-05-31,0.044112477338144496,0.07639527750573083
2016-06-30,-0.08017309282659635,-0.06838912106419859
2016-07-31,0.12544271835529863,0.14870712014423249
2016-08-31,-0.02953997094208316,-0.031899389437208936
2016-09-30,0.030509948132862563,0.10317855596642023
2016-10-31,-0.11298938677714698,-0.15255974786279425
2016-11-30,0.06774994983727534,0.11611761192760262
2016-12-31,-0.03170732542941379,-0.05552894528621688
2017-01-31,0.04817811186701859,0.09678800481867178
2017-02-28,0.06890377254754032,0.08181792964758561
2017-03-31,-0.013323045563960023,-0.012391148679588126
2017-04-30,0.015951851185936672,0.0305735659402937
2017-05-31,-0.03994753629621628,-0.05221166821803358
2017-06-30,0.0851441637865411,0.13986161888473747
2017-07-31,0.0296272658572585,0.014386475358073136
2017-08-31,0.04468940007872635,0.07240632445524509
2017-09-30,0.0007202710546974078,0.032685127463846
2017-10-31,-0.05784681728235086,-0.03341572184469732
2017-11-30,0.005028704196602618,-0.005379925250090345
2017-12-31,0.014410052123390527,0.020194677098669622
2018-01-31,0.0697182956472806,0.10062685881992706
2018-02-28,-0.05259458527634053,-0.032237224989461244
2018-03-31,-0.01239837479027428,-0.02910583745531936
2018-04-30,-0.028948785474893213,-0.007926668544537052
2018-05-31,0.0463096812857835,0.08841141072280712
2018-06-30,0.012632467807842884,0.005492778516554386
2018-07-31,0.06223955787136193,0.00164588619059014
2018-08-31,0.04893124048883779,0.05089695752530776
2018-09-30,-0.0020460018399104385,-0.0426402624233706
2018-10-31,-0.14632034228435553,-0.17419959145291108
2018-11-30,0.048332842256898934,0.03210719858708955
2018-12-31,-0.1161318592369901,-0.12124910545538936
2019-01-31,0.13750898509878273,0.16536038867218816
2019-02-28,0.027805566350832756,0.06626778622735796
2019-03-31,-0.00833775309050988,0.015705633893813298
2019-04-30,-0.04705864658659509,-0.058979405661638395
2019-05-31,-0.06051477111236936,-0.06760565795345685
2019-06-30,0.09121796511059976,0.104103655901989
2019-07-31,-0.030778703617713066,-0.023144400489448658
2019-08-31,-0.0258375417489487,-0.061974703473742676
2019-09-30,-0.0333238143356106,-0.051262853359763993
2019-10-31,0.07952672183252729,0.07059610793677806
2019-11-30,0.11468217383425894,0.14724990849386077
2019-12-31,0.00718776071531857,0.01558978244254794
2020-01-31,-0.05465298066633817,-0.06296995839442887
2020-02-29,0.0006151147984829741,0.0006733648858632257
2020-03-31,-0.0539164583430255,-0.1316440445885737
2020-04-30,0.15153614618088973,0.20596604800650353
