ticker,company_name,weight,as_of_date,survivorship_bias_flag
CRVS,CORVUS PHARMACEUTICALS INC,0.417607,2026-04-14,True
QURE,UNIQURE NV,0.395526,2026-04-14,True
MNKD,MANNKIND CORP,0.375357,2026-04-14,True
GERN,GERON CORP,0.373751,2026-04-14,True
IOVA,IOVANCE BIOTHERAPEUTICS INC,0.366244,2026-04-14,True
PGEN,PRECIGEN INC,0.325602,2026-04-14,True
TSHA,TAYSHA GENE THERAPIES INC,0.324109,2026-04-14,True
CDNA,CAREDX INC,0.323991,2026-04-14,True
DAWN,DAY ONE BIOPHARMACEUTICALS I,0.311117,2026-04-14,True
VIR,VIR BIOTECHNOLOGY INC,0.306025,2026-04-14,True
TYRA,TYRA BIOSCIENCES INC,0.303642,2026-04-14,True
INBX,INHIBRX BIOSCIENCES INC,0.298642,2026-04-14,True
ORIC,ORIC PHARMACEUTICALS INC,0.293673,2026-04-14,True
SLS,SELLAS LIFE SCIENCES GROUP I,0.290289,2026-04-14,True
ANNX,ANNEXON INC,0.28885,2026-04-14,True
KURA,KURA ONCOLOGY INC,0.286113,2026-04-14,True
SANA,SANA BIOTECHNOLOGY INC,0.277596,2026-04-14,True
RIGL,RIGEL PHARMACEUTICALS INC,0.27618,2026-04-14,True
JANX,JANUX THERAPEUTICS INC,0.276011,2026-04-14,True
KALV,KALVISTA PHARMACEUTICALS INC,0.274593,2026-04-14,True
SVRA,SAVARA INC,0.273653,2026-04-14,True
CTMX,CYTOMX THERAPEUTICS INC,0.25751,2026-04-14,True
CMPX,COMPASS THERAPEUTICS INC,0.249165,2026-04-14,True
ZBIO,ZENAS BIOPHARMA INC,0.247928,2026-04-14,True
AVBP,ARRIVENT BIOPHARMA INC,0.244221,2026-04-14,True
CGEM,CULLINAN THERAPEUTICS INC,0.242246,2026-04-14,True
SPRY,ARS PHARMACEUTICALS INC,0.230247,2026-04-14,True
SION,SIONNA THERAPEUTICS INC,0.226299,2026-04-14,True
XNCR,XENCOR INC,0.223216,2026-04-14,True
ALLO,ALLOGENE THERAPEUTICS INC,0.207781,2026-04-14,True
PURR,HYPERLIQUID STRATEGIES,0.207567,2026-04-14,True
BCAX,BICARA THERAPEUTICS INC,0.202357,2026-04-14,True
VOR,VOR BIOPHARMA INC,0.19397,2026-04-14,True
IRWD,IRONWOOD PHARMACEUTICALS INC,0.19015,2026-04-14,True
PRME,PRIME MEDICINE INC,0.189758,2026-04-14,True
ALT,ALTIMMUNE INC,0.182822,2026-04-14,True
ABSI,ABSCI CORP,0.176744,2026-04-14,True
FDMT,4D MOLECULAR THERAPEUTICS IN,0.172392,2026-04-14,True
EBS,EMERGENT BIOSOLUTIONS INC,0.168829,2026-04-14,True
