date,hedged_return
2015-02-28,
2015-03-31,
2015-04-30,
2015-05-31,
2015-06-30,
2015-07-31,
2015-08-31,
2015-09-30,
2015-10-31,
2015-11-30,
2015-12-31,
2016-01-31,
2016-02-29,-0.10775677602156587
2016-03-31,0.04254915586017149
2016-04-30,-0.025784121838986963
2016-05-31,0.06703315430148478
2016-06-30,0.09715574921504704
2016-07-31,-0.05534059549553541
2016-08-31,-0.008905013653115348
2016-09-30,-0.06131565524425161
2016-10-31,0.11530972812841861
2016-11-30,-0.20529599998965242
2016-12-31,0.10556020397674577
2017-01-31,-0.0391451174405442
2017-02-28,0.012682089614534058
2017-03-31,0.14324847313054773
2017-04-30,-0.06545000913332791
2017-05-31,-0.11518454786167996
2017-06-30,0.0011832317442456346
2017-07-31,0.0027135524221068782
2017-08-31,0.10725350091945164
2017-09-30,0.14985952056271826
2017-10-31,0.24639347206563703
2017-11-30,0.060042110060126094
2017-12-31,0.08271783118253019
2018-01-31,0.11826303488291676
2018-02-28,0.08062070641506869
2018-03-31,-0.10359518299743486
2018-04-30,0.18217012585309247
2018-05-31,0.18069737589463136
2018-06-30,0.09580211638727354
2018-07-31,-0.041221385842246924
2018-08-31,0.04822918314034224
2018-09-30,0.08594066427862922
2018-10-31,-0.03684894209732076
2018-11-30,0.029770523306941875
2018-12-31,-0.07775173594780632
2019-01-31,0.014405922074976804
2019-02-28,-0.05839163762446067
2019-03-31,-0.004662396560635723
2019-04-30,0.05894140119061904
2019-05-31,0.002968276300731088
2019-06-30,0.04752907470679966
2019-07-31,0.004651773072877919
2019-08-31,-0.026590302922135024
2019-09-30,0.15010395187605446
2019-10-31,-0.03616749179397712
2019-11-30,-0.09809288980485563
2019-12-31,-0.07653488489992126
2020-01-31,0.17101650846517086
2020-02-29,-0.10462965173929181
2020-03-31,0.056797714284260434
2020-04-30,-0.051338037394808037
2020-05-31,0.11659187924134251
2020-06-30,0.10158738135713768
2020-07-31,0.3573934068488054
2020-08-31,0.11095637629358182
2020-09-30,0.025379310104039703
2020-10-31,0.04957989725452801
2020-11-30,0.013009346609105493
2020-12-31,0.08279756522565711
2021-01-31,-0.011983946440058752
2021-02-28,-0.031941269443454455
2021-03-31,-0.0012227978331255233
2021-04-30,-0.04995339752204157
2021-05-31,-0.026035935511268947
2021-06-30,-0.0921415374265957
2021-07-31,-0.012768561528847817
2021-08-31,0.08961914554130071
2021-09-30,-0.08078226822899255
2021-10-31,-0.0986715290421256
2021-11-30,-0.0116328730095826
2021-12-31,-0.17804554267020747
2022-01-31,-0.1724068922110191
2022-02-28,-0.0794472394413496
2022-03-31,-0.12826110628465467
2022-04-30,0.06893791314977804
2022-05-31,0.030495542735179678
2022-06-30,0.1259166325484347
2022-07-31,-0.13825990226531187
2022-08-31,-0.11388353931309123
2022-09-30,0.06524297446376444
2022-10-31,0.14726777649203743
2022-11-30,-0.06531198895382488
2022-12-31,-0.06408095495939563
2023-01-31,0.09977572508736951
2023-02-28,-0.0399059032931874
2023-03-31,-0.025099729542475916
2023-04-30,-0.04545721867802319
2023-05-31,0.07490476838999018
2023-06-30,0.018065209796625528
2023-07-31,-0.021069807183354477
2023-08-31,-0.06243770132108256
2023-09-30,-0.08576950964108568
2023-10-31,-0.08677359512495947
2023-11-30,0.019851068070708723
2023-12-31,-0.021178520545615434
2024-01-31,0.1601993245693077
2024-02-29,0.4729593667063048
2024-03-31,0.011126639487839011
2024-04-30,0.10710348255380261
2024-05-31,-0.04905734974364639
2024-06-30,-0.19882069495261617
2024-07-31,0.13153000197130568
2024-08-31,0.039465347703678086
2024-09-30,-0.02175421454213361
2024-10-31,0.03644947439672124
2024-11-30,-0.16415965699792
2024-12-31,-0.032870149707351894
