date,hedged_return
2015-02-28,-0.14340599935849108
2015-03-31,0.13263052733539935
2015-04-30,0.015010943478278901
2015-05-31,-0.021391382358518535
2015-06-30,0.020634292353592435
2015-07-31,-0.05368647426729792
2015-08-31,0.0238657879693357
2015-09-30,-0.12740811849948208
2015-10-31,-0.07216825031716348
2015-11-30,-0.07191341325742227
2015-12-31,-0.02597508525448721
2016-01-31,0.15315253555408548
2016-02-29,0.014915071829085998
2016-03-31,-0.013108632775764816
2016-04-30,-0.000682093385828194
2016-05-31,-0.005740649931052406
2016-06-30,0.13261862669841398
2016-07-31,-0.07177170330834642
2016-08-31,-0.03518006708259291
2016-09-30,-0.048578819875914246
2016-10-31,0.09997001241486236
2016-11-30,-0.13466865365238448
2016-12-31,0.07254165228355007
2017-01-31,-0.06830636856646533
2017-02-28,-0.029105105436384573
2017-03-31,0.14164836888569848
2017-04-30,-0.055153828746124685
2017-05-31,-0.11948536293264676
2017-06-30,-0.027840453565034333
2017-07-31,-0.028892686635246703
2017-08-31,0.08702986187635921
2017-09-30,0.1150776672328184
2017-10-31,0.19735053543780534
2017-11-30,0.06986964739948859
2017-12-31,0.06651462294683066
2018-01-31,0.041829909338989904
2018-02-28,0.12032385381577997
2018-03-31,-0.08840447948833663
2018-04-30,0.14426795168096337
2018-05-31,0.11366065386024585
2018-06-30,0.09245379317817988
2018-07-31,-0.05194724668468831
2018-08-31,0.029692170207068498
2018-09-30,0.0912988538232865
2018-10-31,0.057464034768166916
2018-11-30,0.014653759395977633
2018-12-31,0.006625304415306524
2019-01-31,-0.03968324829279739
2019-02-28,-0.07149446936229192
2019-03-31,0.007400236775889826
2019-04-30,0.05271185580362269
2019-05-31,0.03152486688125543
2019-06-30,0.01722953837708175
2019-07-31,0.006324487157546485
2019-08-31,-0.01499363650658591
2019-09-30,0.13378278337013993
2019-10-31,-0.05139949011413726
2019-11-30,-0.11737505206823737
2019-12-31,-0.07049609406789513
2020-01-31,0.09412016068326874
2020-02-29,-0.08078136179702508
2020-03-31,-0.027092472831662814
2020-04-30,-0.09733410869767976
2020-05-31,0.04816719168049241
2020-06-30,0.06066636344845657
2020-07-31,0.33618635532901364
2020-08-31,0.07299528012518008
2020-09-30,-0.002499187867949587
2020-10-31,0.01413500636896372
2020-11-30,0.017311101435192155
2020-12-31,0.053056325803889186
2021-01-31,0.005717797744443738
2021-02-28,-0.05417301119172594
2021-03-31,0.03148940063696387
2021-04-30,-0.04788393309728109
2021-05-31,-0.005694779878970921
2021-06-30,-0.08209246076976968
2021-07-31,0.0019046215777328568
2021-08-31,0.09657865850163834
2021-09-30,-0.05554020288230865
2021-10-31,-0.05065952736217088
2021-11-30,-0.02430813967049869
2021-12-31,-0.12468772424243983
2022-01-31,-0.05624801110874919
2022-02-28,-0.08905574321994982
2022-03-31,-0.08172386952600744
2022-04-30,0.020990957636372848
2022-05-31,0.032986602497292225
2022-06-30,0.07775643893661807
2022-07-31,-0.11404066655425116
2022-08-31,-0.12365869976329108
2022-09-30,0.051531850633745116
2022-10-31,0.14428201627111137
2022-11-30,-0.02523999942961913
2022-12-31,-0.06671149340383867
2023-01-31,0.09749652453642631
2023-02-28,-0.04337304915056584
2023-03-31,-0.012600146670626255
2023-04-30,-0.04065103737806206
2023-05-31,0.07582313658237412
2023-06-30,0.040943950675398154
2023-07-31,-0.01411116655998853
2023-08-31,-0.055089512705547336
2023-09-30,-0.08182270567381628
2023-10-31,-0.1027220540086904
2023-11-30,-0.007840300365640193
2023-12-31,0.022306792349180996
2024-01-31,0.12179183857884897
2024-02-29,0.4720549189159582
2024-03-31,0.01596297130811442
2024-04-30,0.08974076877221267
2024-05-31,-0.032184377211189344
2024-06-30,-0.1792717664048692
2024-07-31,0.14129526175652388
2024-08-31,0.018946856431845394
2024-09-30,-0.019168780661148674
2024-10-31,0.031915144361338695
2024-11-30,-0.11482780967842775
2024-12-31,-0.05012969782351351
