date,PR_flipped,long_return,short_return,n_long,n_short
2015-02-28,-0.0860967911996526,0.0176403243677313,0.1037371155673839,7,6
2015-03-31,0.1279804616028908,0.1810904492864526,0.0531099876835617,7,6
2015-04-30,0.0175158038628609,-0.0338608956567224,-0.0513766995195834,7,7
2015-05-31,0.0036852791038124,0.1126284450345567,0.1089431659307442,8,7
2015-06-30,0.0135099628470512,0.0135631120531492,5.314920609797039e-05,9,7
2015-07-31,-0.0376084353571509,-0.0142884511588521,0.0233199841982987,9,7
2015-08-31,-0.0288271921979687,-0.1122586347970955,-0.0834314425991268,6,7
2015-09-30,-0.161758794505118,-0.2924522111950183,-0.1306934166899003,5,7
2015-10-31,-0.0255175674384963,0.0547255279865403,0.0802430954250367,8,8
2015-11-30,-0.0452178260351234,-0.0130547282412061,0.0321630977939173,9,8
2015-12-31,-0.043595661380613,0.0030183239420938,0.0466139853227069,9,8
2016-01-31,0.0821732716090604,-0.2532534892050421,-0.3354267608141025,10,9
2016-02-29,-0.0117821149736801,-0.0712448168095102,-0.0594627018358301,10,9
2016-03-31,0.031593253831235,0.0638180636157847,0.0322248097845497,10,9
2016-04-30,0.0185286791891337,0.0216731170105398,0.003144437821406,9,9
2016-05-31,0.0217868361334226,0.0252491974175488,0.0034623612841261,9,9
2016-06-30,0.1191707895773906,-0.016759639311842,-0.1359304288892327,9,9
2016-07-31,-0.0470666145962516,0.1015254325795259,0.1485920471757776,9,9
2016-08-31,-0.0198765503554954,0.0120750025614277,0.0319515529169232,9,9
2016-09-30,-0.0302336193257417,0.1073244664117145,0.1375580857374562,7,9
2016-10-31,0.0729688564950588,-0.1082129037164957,-0.1811817602115546,5,9
2016-11-30,-0.1104629062419879,0.069532146139488,0.1799950523814759,6,8
2016-12-31,0.0756007499588017,0.0260088460498536,-0.0495919039089481,6,9
2017-01-31,-0.046990199565681,0.0414613331466441,0.0884515327123252,5,9
2017-02-28,-0.002235755314291,0.0509094701854016,0.0531452254996927,8,10
2017-03-31,0.1440653614527332,0.2007021752438359,0.0566368137911027,7,10
2017-04-30,-0.0534805297965686,0.0044214660631391,0.0579019958597078,7,10
2017-05-31,-0.1129173681775788,-0.1540518911216452,-0.0411345229440663,8,11
2017-06-30,-0.0070028113414511,0.0971672884441573,0.1041700997856085,13,12
2017-07-31,-0.0107953180410894,0.0543148465554695,0.0651101645965589,11,12
2017-08-31,0.0937368474070547,0.1252844936145379,0.0315476462074832,7,13
2017-09-30,0.1391940374599778,0.1121049166695448,-0.027089120790433,7,13
2017-10-31,0.2142233949615744,0.1486188500229753,-0.065604544938599,10,14
2017-11-30,0.0709425267924428,0.0381524923521347,-0.0327900344403081,11,14
2017-12-31,0.0639587875833812,0.0693841108848414,0.0054253233014601,14,14
2018-01-31,0.088644975623424,0.1931552899929006,0.1045103143694765,15,16
2018-02-28,0.0979021793790543,0.0314116276354194,-0.0664905517436348,9,16
2018-03-31,-0.1004897988584527,-0.1071361346832746,-0.0066463358248218,12,17
2018-04-30,0.1594091651814116,0.1012016748133749,-0.0582074903680367,10,15
2018-05-31,0.1545578518252684,0.2683932705058536,0.1138354186805851,13,16
2018-06-30,0.0920954398644451,0.1188444294998072,0.026748989635362,8,16
2018-07-31,-0.0415664256312967,-0.0142808064862975,0.0272856191449991,9,16
2018-08-31,0.0663381668391198,0.1332454300625889,0.066907263223469,11,17
2018-09-30,0.0837198950609884,0.0466606922375307,-0.0370592028234577,14,16
2018-10-31,-0.01832309643933,-0.1644738001087017,-0.1461507036693716,15,17
2018-11-30,0.0291903013455171,0.0239756592654032,-0.0052146420801138,17,17
2018-12-31,-0.0621154585225803,-0.1963135539856807,-0.1341980954631004,16,18
2019-01-31,0.0311016503492804,0.1405619619547724,0.1094603116054919,19,18
2019-02-28,-0.0411644862422016,0.0126678847162631,0.0538323709584647,17,19
2019-03-31,0.0129043045350832,0.0409332163958594,0.0280289118607761,15,19
2019-04-30,0.0736727363395483,-0.0125880865924249,-0.0862608229319732,14,19
2019-05-31,-0.0182449456452517,-0.0943033885582989,-0.0760584429130472,14,20
2019-06-30,0.0661725422250727,0.1279796795109601,0.0618071372858874,13,20
2019-07-31,0.013559462568565,0.0220382384636403,0.0084787758950753,14,20
2019-08-31,-0.0333166788934162,-0.0732485372319287,-0.0399318583385124,15,20
2019-09-30,0.1180209300687807,0.0404034780824615,-0.0776174519863191,17,21
2019-10-31,-0.0352199511816949,0.0401640286645772,0.0753839798462721,17,21
2019-11-30,-0.0740705609630835,0.0869498839140691,0.1610204448771527,18,21
2019-12-31,-0.0549585342171074,0.0621355223934661,0.1170940566105736,17,21
2020-01-31,0.1094145634353046,0.0792341382230729,-0.0301804252122316,14,21
2020-02-29,-0.1199430534397532,-0.0676871304955996,0.0522559229441536,20,22
2020-03-31,-0.1087570087726676,-0.1972734060871938,-0.0885163973145262,20,22
2020-04-30,-0.0136868760274372,0.1709949223311199,0.1846817983585571,15,21
2020-05-31,0.094734230346679,0.207780758892247,0.113046528545568,16,21
2020-06-30,0.0784827568722316,0.1422686531817024,0.0637858963094707,19,21
2020-07-31,0.372114736392772,0.3027997859135741,-0.0693149504791979,15,22
2020-08-31,0.1045916635959701,0.0632298441067244,-0.0413618194892457,19,22
2020-09-30,-0.0122162876254729,-0.0547275816706729,-0.0425112940452,20,23
2020-10-31,0.0052476505002655,0.0540503227466825,0.0488026722464169,19,23
2020-11-30,0.1202848686874664,0.2585533829065293,0.1382685142190628,21,24
2020-12-31,0.1034870956574006,0.19298470868228,0.0894976130248794,20,24
2021-01-31,0.0181128031315862,0.029026948685368,0.0109141455537817,18,23
2021-02-28,-0.0341614890140275,0.0198436992008771,0.0540051882149046,18,24
2021-03-31,-0.0035758391495177,-0.0558620780898363,-0.0522862389403185,23,24
2021-04-30,-0.0225788062753707,-0.0160932708657392,0.0064855354096314,23,24
2021-05-31,-0.0317196843272985,-0.0810535511542535,-0.0493338668269549,24,25
2021-06-30,-0.0400381375077199,0.0445074775115335,0.0845456150192534,23,25
2021-07-31,-0.0249407097637149,-0.0875283698713595,-0.0625876601076446,23,25
2021-08-31,0.1236446821441826,0.1501113498841958,0.0264666677400131,28,26
2021-09-30,-0.0825901681495854,-0.1079519758403882,-0.0253618076908028,25,26
2021-10-31,-0.0118477228824339,-0.0273151914266701,-0.0154674685442361,25,26
2021-11-30,-0.0887317383699022,-0.1578998706985952,-0.0691681323286929,27,26
2021-12-31,-0.1481750949671537,-0.072343791021656,0.0758313039454977,25,26
2022-01-31,-0.1373586370641679,-0.2303750564855705,-0.0930164194214025,25,27
2022-02-28,-0.1003445549497962,-0.1121620538734374,-0.0118174989236412,25,27
2022-03-31,-0.0577048452823044,0.0045952117569461,0.0623000570392505,26,28
2022-04-30,-0.0892485213286798,-0.2001689967030154,-0.1109204753743356,28,28
2022-05-31,0.0035942241847363,-0.0671418664330107,-0.070736090617747,25,27
2022-06-30,0.0231334834797463,0.0971341049094692,0.0740006214297228,27,27
2022-07-31,-0.0289635001516422,0.1164581071056304,0.1454216072572727,25,28
2022-08-31,-0.1213459816427592,-0.0224795707298806,0.0988664109128786,23,28
