date,PR_uniform_excl,n_long,n_short,long_return,short_return
2015-02-28,0.08609679119965265,6,7,0.10373711556738396,0.017640324367731313
2015-03-31,-0.12798046160289087,6,7,0.05310998768356175,0.18109044928645263
2015-04-30,-0.017515803862860925,7,7,-0.051376699519583416,-0.03386089565672249
2015-05-31,-0.003685279103812472,7,8,0.10894316593074424,0.11262844503455671
2015-06-30,-0.013509962847051268,7,9,5.314920609797039e-05,0.013563112053149239
2015-07-31,0.03760843535715094,7,9,0.023319984198298758,-0.014288451158852189
2015-08-31,0.0288271921979687,7,6,-0.08343144259912684,-0.11225863479709554
2015-09-30,0.16175879450511804,7,5,-0.1306934166899003,-0.29245221119501835
2015-10-31,0.025517567438496376,8,8,0.08024309542503673,0.05472552798654035
2015-11-30,0.04521782603512349,8,9,0.0321630977939173,-0.013054728241206189
2015-12-31,0.04359566138061307,8,9,0.04661398532270693,0.0030183239420938585
2016-01-31,-0.08217327160906046,9,10,-0.33542676081410255,-0.2532534892050421
2016-02-29,0.011782114973680174,9,10,-0.059462701835830106,-0.07124481680951028
2016-03-31,-0.031593253831235006,9,10,0.0322248097845497,0.06381806361578471
2016-04-30,-0.018528679189133722,9,9,0.0031444378214060768,0.0216731170105398
2016-05-31,-0.02178683613342264,9,9,0.003462361284126192,0.025249197417548833
2016-06-30,-0.11917078957739063,9,9,-0.1359304288892327,-0.01675963931184207
2016-07-31,0.047066614596251666,9,9,0.14859204717577765,0.10152543257952598
2016-08-31,0.019876550355495487,9,9,0.031951552916923205,0.01207500256142772
2016-09-30,0.030233619325741715,9,7,0.13755808573745623,0.10732446641171452
2016-10-31,-0.07296885649505888,9,5,-0.1811817602115546,-0.10821290371649572
2016-11-30,0.1104629062419879,8,6,0.17999505238147598,0.06953214613948808
2016-12-31,-0.07560074995880177,9,6,-0.049591903908948104,0.02600884604985367
2017-01-31,0.04699019956568104,9,5,0.08845153271232521,0.04146133314664417
2017-02-28,0.002235755314291099,10,8,0.053145225499692764,0.050909470185401665
2017-03-31,-0.1440653614527332,10,7,0.056636813791102705,0.2007021752438359
2017-04-30,0.053480529796568615,10,7,0.0579019958597078,0.0044214660631391855
2017-05-31,0.11291736817757886,11,8,-0.04113452294406638,-0.15405189112164525
2017-06-30,0.007002811341451198,12,13,0.10417009978560855,0.09716728844415735
2017-07-31,0.010795318041089401,12,11,0.06511016459655898,0.05431484655546958
2017-08-31,-0.09373684740705471,13,7,0.03154764620748321,0.12528449361453792
2017-09-30,-0.13919403745997788,13,7,-0.027089120790433092,0.1121049166695448
2017-10-31,-0.2142233949615744,14,10,-0.06560454493859906,0.1486188500229753
2017-11-30,-0.07094252679244281,14,11,-0.03279003444030812,0.0381524923521347
2017-12-31,-0.06395878758338129,14,14,0.00542532330146015,0.06938411088484144
2018-01-31,-0.08864497562342405,16,15,0.10451031436947658,0.19315528999290063
2018-02-28,-0.0979021793790543,16,9,-0.06649055174363484,0.031411627635419444
2018-03-31,0.10048979885845273,17,12,-0.006646335824821886,-0.10713613468327461
2018-04-30,-0.15940916518141168,15,10,-0.05820749036803678,0.1012016748133749
