date,ticker,return
2021-07-31,ATAI,-0.16216216216216217
2021-08-31,ATAI,0.056774139404296875
2021-09-30,ATAI,-0.0970695531366047
2021-10-31,ATAI,-0.013522637578159857
2021-11-30,ATAI,-0.24742978564748275
2021-12-31,ATAI,-0.3051001427558444
2022-01-31,ATAI,-0.30144169806521603
2022-02-28,ATAI,0.076923049396036
2022-03-31,ATAI,-0.11324035617577244
2022-04-30,ATAI,-0.15717095613997611
2022-05-31,ATAI,-0.0722610595655202
2022-06-30,ATAI,-0.08542711370349709
2022-07-31,ATAI,0.06043950105804785
2022-08-31,ATAI,0.1658031404916105
2022-09-30,ATAI,-0.264444457160102
2022-10-31,ATAI,-0.10876129949220448
2022-11-30,ATAI,0.19661014045117042
2022-12-31,ATAI,-0.2464588930907443
2023-01-31,ATAI,-0.33082710001721816
2023-02-28,ATAI,-0.05617978957818792
2023-03-31,ATAI,0.07738095195858374
2023-04-30,ATAI,0.05524863370343103
2023-05-31,ATAI,-0.06282722872536994
2023-06-30,ATAI,-0.03910610879026677
2023-07-31,ATAI,0.21511620895613826
2023-08-31,ATAI,-0.2679425673575292
2023-09-30,ATAI,-0.15686275426445917
2023-10-31,ATAI,-0.04651158492543972
2023-11-30,ATAI,-0.15447158884077017
2023-12-31,ATAI,0.3557692484037418
2024-01-31,ATAI,0.26241135711155716
2024-02-29,ATAI,0.08988769011370557
2024-03-31,ATAI,0.015463902322123246
2024-04-30,ATAI,0.005076137217272736
2024-05-31,ATAI,-0.20707068821810048
2024-06-30,ATAI,-0.15286624300547114
2024-07-31,ATAI,0.1654134603775672
2024-08-31,ATAI,-0.16129032754253037
2024-09-30,ATAI,-0.10769230063850332
2024-10-31,ATAI,-0.08620691958562443
2024-11-30,ATAI,0.6792453466763773
2024-12-31,ATAI,-0.2528089526445778
2017-06-30,ALT,-0.24705882352941178
2017-07-31,ALT,-0.2125000158945719
2017-08-31,ALT,0.0
2017-09-30,ALT,-0.07936508096695105
2017-10-31,ALT,0.034482781300221976
2017-11-30,ALT,-0.24583334392971468
2017-12-31,ALT,0.09944754331033812
2018-01-31,ALT,-0.09045228570970332
2018-02-28,ALT,-0.12707178283848464
2018-03-31,ALT,-0.26582282454018813
2018-04-30,ALT,-0.37499998629778253
2018-05-31,ALT,-0.15862072473284838
2018-06-30,ALT,-0.27049175201965303
2018-07-31,ALT,-0.2516854317858569
2018-08-31,ALT,-0.0390389788372123
2018-09-30,ALT,-0.5416666749450892
2018-10-31,ALT,-0.13409094086363227
2018-11-30,ALT,-0.05774279052868725
2018-12-31,ALT,-0.4261838462310372
2019-01-31,ALT,0.5485437601110892
2019-02-28,ALT,-0.1567398091007135
2019-03-31,ALT,0.07806692701856766
2019-04-30,ALT,-0.01379317205385755
2019-05-31,ALT,-0.15034959584298013
2019-06-30,ALT,-0.02057611149904548
2019-07-31,ALT,0.0084033529263976
2019-08-31,ALT,-0.12083341197834763
2019-09-30,ALT,-0.075829315339773
2019-10-31,ALT,-0.020512861581634567
2019-11-30,ALT,-0.04712037473409614
2019-12-31,ALT,0.03846150067330312
2020-01-31,ALT,-0.08994706792135387
2020-02-29,ALT,1.1511627826386368
2020-03-31,ALT,-0.13243243330320886
2020-04-30,ALT,-0.04984426290631794
2020-05-31,ALT,2.0426229108376255
2020-06-30,ALT,0.1540948649055549
2020-07-31,ALT,1.4817927011235459
2020-08-31,ALT,-0.365312231465153
2020-09-30,ALT,-0.21754598976860706
2020-10-31,ALT,-0.13257575949142575
2020-11-30,ALT,0.0681222485558497
2020-12-31,ALT,-0.07767782868546402
2021-01-31,ALT,0.2659574531044593
2021-02-28,ALT,0.116246490087764
2021-03-31,ALT,-0.11355078504329918
2021-04-30,ALT,0.02406228944332489
2021-05-31,ALT,-0.12577751312455532
2021-06-30,ALT,-0.22134381988114726
2021-07-31,ALT,-0.07918788390230735
2021-08-31,ALT,0.6527012431623547
2021-09-30,ALT,-0.24549695848507402
2021-10-31,ALT,-0.04509285676039965
2021-11-30,ALT,-0.02870374205017545
2021-12-31,ALT,-0.12678741208059008
2022-01-31,ALT,-0.11899565182807714
2022-02-28,ALT,-0.08178437080182388
2022-03-31,ALT,-0.17813761430578423
2022-04-30,ALT,-0.25779969332089747
2022-05-31,ALT,0.11946901861321191
2022-06-30,ALT,1.312252952880101
2022-07-31,ALT,0.026495762792338784
2022-08-31,ALT,0.8384679019911863
2022-09-30,ALT,-0.4216485279941854
2022-10-31,ALT,-0.018011001383387848
2022-11-30,ALT,-0.20653908775651764
2022-12-31,ALT,0.6532664400276385
2023-01-31,ALT,-0.17082068627907954
2023-02-28,ALT,-0.0769794841866609
2023-03-31,ALT,-0.6648133646508159
2023-04-30,ALT,0.1966825691490186
2023-05-31,ALT,-0.20000003776927844
2023-06-30,ALT,-0.12623762259377225
2023-07-31,ALT,-0.06232295478563843
2023-08-31,ALT,-0.2356495422579291
2023-09-30,ALT,0.02766795811635747
2023-10-31,ALT,-0.07307685606578151
2023-11-30,ALT,0.31120330841875754
2023-12-31,ALT,2.560126485579713
2024-01-31,ALT,-0.1608889261881511
2024-02-29,ALT,0.2817797584031694
2024-03-31,ALT,-0.158677687253158
2024-04-30,ALT,-0.35658153296865125
2024-05-31,ALT,0.1465648870522045
2024-06-30,ALT,-0.114513995646369
2024-07-31,ALT,-0.04360901619460866
2024-08-31,ALT,0.05345906739200901
2024-09-30,ALT,-0.08358208339127737
2024-10-31,ALT,0.09771985629960533
2024-11-30,ALT,0.27151335101639895
2024-12-31,ALT,-0.15869308110928015
2024-02-29,AVBP,-0.000463959252305135
2024-03-31,AVBP,-0.1708449465535079
2024-04-30,AVBP,-0.07502800150024824
2024-05-31,AVBP,0.1749394255186152
2024-06-30,AVBP,-0.04430709001093702
2024-07-31,AVBP,0.18059301990572862
2024-08-31,AVBP,0.22054794556339807
2024-09-30,AVBP,-0.12083799467084066
2024-10-31,AVBP,0.24851064479097418
2024-11-30,AVBP,0.021131524494217846
2024-12-31,AVBP,-0.11081441242582923
2015-02-28,AKBA,-0.09834471118434274
2015-03-31,AKBA,0.19978395054735354
2015-04-30,AKBA,-0.3096309348952877
2015-05-31,AKBA,0.024771845545047855
2015-06-30,AKBA,0.3091602782520704
2015-07-31,AKBA,-0.08649177323830448
2015-08-31,AKBA,-0.259574433979052
2015-09-30,AKBA,0.3879310049521183
2015-10-31,AKBA,-0.07660453238168619
2015-11-30,AKBA,0.2029147365987911
2015-12-31,AKBA,0.20410071085624493
2016-01-31,AKBA,-0.43266254795498127
2016-02-29,AKBA,-0.0040927330536756346
2016-03-31,AKBA,0.23424657444766916
2016-04-30,AKBA,0.042175372340481854
2016-05-31,AKBA,-0.051118261806238796
2016-06-30,AKBA,-0.16049381064287715
2016-07-31,AKBA,0.1965240356207556
2016-08-31,AKBA,-0.09162007958652085
2016-09-30,AKBA,0.11316113940266681
