iShares Biotechnology ETF
Fund Holdings as of,"Apr 13, 2026"
Inception Date,"Feb 05, 2001"
Shares Outstanding,"48,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"KYMR","KYMERA THERAPEUTICS INC","Health Care","Equity","46,266,309.18","0.56","46,266,309.18","522,606.00","88.53","United States","NASDAQ","USD","1.00","USD","-"
"ABVX","ABIVAX AMERICAN DEPOSITARY SHARES","Health Care","Equity","44,762,055.59","0.54","44,762,055.59","368,989.00","121.31","France","NASDAQ","USD","1.00","USD","-"
"PTGX","PROTAGONIST THERAPEUTICS INC","Health Care","Equity","43,799,855.99","0.53","43,799,855.99","448,907.00","97.57","United States","NASDAQ","USD","1.00","USD","-"
"PTCT","PTC THERAPEUTICS INC","Health Care","Equity","41,943,560.40","0.50","41,943,560.40","595,620.00","70.42","United States","NASDAQ","USD","1.00","USD","-"
"RYTM","RHYTHM PHARMACEUTICALS INC","Health Care","Equity","41,365,919.91","0.50","41,365,919.91","476,511.00","86.81","United States","NASDAQ","USD","1.00","USD","-"
"ALKS","ALKERMES","Health Care","Equity","41,233,117.50","0.50","41,233,117.50","1,221,722.00","33.75","United States","NASDAQ","USD","1.00","USD","-"
"ACLX","ARCELLX INC","Health Care","Equity","38,574,954.18","0.46","38,574,954.18","335,814.00","114.87","United States","NASDAQ","USD","1.00","USD","-"
"MIRM","MIRUM PHARMACEUTICALS INC","Health Care","Equity","38,046,875.41","0.46","38,046,875.41","394,309.00","96.49","United States","NASDAQ","USD","1.00","USD","-"
"TERN","TERNS PHARMACEUTICALS INC","Health Care","Equity","37,711,689.76","0.45","37,711,689.76","716,816.00","52.61","United States","NASDAQ","USD","1.00","USD","-"
"COGT","COGENT BIOSCIENCES INC","Health Care","Equity","37,016,379.84","0.44","37,016,379.84","1,013,592.00","36.52","United States","NASDAQ","USD","1.00","USD","-"
"NUVL","NUVALENT INC CLASS A","Health Care","Equity","37,013,286.09","0.44","37,013,286.09","356,961.00","103.69","United States","NASDAQ","USD","1.00","USD","-"
"CRSP","CRISPR THERAPEUTICS AG","Health Care","Equity","36,543,811.19","0.44","36,543,811.19","666,493.00","54.83","United States","NASDAQ","USD","1.00","USD","-"
"TEM","TEMPUS AI INC CLASS A","Health Care","Equity","35,732,069.56","0.43","35,732,069.56","777,122.00","45.98","United States","NASDAQ","USD","1.00","USD","-"
"XENE","XENON PHARMACEUTICALS INC","Health Care","Equity","35,211,450.80","0.42","35,211,450.80","600,878.00","58.60","United States","NASDAQ","USD","1.00","USD","-"
"SRRK","SCHOLAR ROCK HOLDING CORP","Health Care","Equity","34,251,300.32","0.41","34,251,300.32","691,666.00","49.52","United States","NASDAQ","USD","1.00","USD","-"
"FOLD","AMICUS THERAPEUTICS INC","Health Care","Equity","33,508,461.66","0.40","33,508,461.66","2,317,321.00","14.46","United States","NASDAQ","USD","1.00","USD","-"
"APLS","APELLIS PHARMACEUTICALS INC","Health Care","Equity","31,915,684.04","0.38","31,915,684.04","781,481.00","40.84","United States","NASDAQ","USD","1.00","USD","-"
"APGE","APOGEE THERAPEUTICS INC","Health Care","Equity","30,791,659.12","0.37","30,791,659.12","354,988.00","86.74","United States","NASDAQ","USD","1.00","USD","-"
"SYRE","SPYRE THERAPEUTICS INC","Health Care","Equity","30,426,606.27","0.37","30,426,606.27","480,901.00","63.27","United States","NASDAQ","USD","1.00","USD","-"
"BRKR","BRUKER CORP","Health Care","Equity","29,971,734.10","0.36","29,971,734.10","767,522.00","39.05","United States","NASDAQ","USD","1.00","USD","-"
"CRNX","CRINETICS PHARMACEUTICALS INC","Health Care","Equity","28,200,459.68","0.34","28,200,459.68","729,448.00","38.66","United States","NASDAQ","USD","1.00","USD","-"
"ACAD","ACADIA PHARMACEUTICALS INC","Health Care","Equity","26,963,309.70","0.32","26,963,309.70","1,256,445.00","21.46","United States","NASDAQ","USD","1.00","USD","-"
"CGON","CG ONCOLOGY INC","Health Care","Equity","25,784,966.70","0.31","25,784,966.70","380,871.00","67.70","United States","NASDAQ","USD","1.00","USD","-"
"ERAS","ERASCA INC","Health Care","Equity","22,673,428.05","0.27","22,673,428.05","1,390,155.00","16.31","United States","NASDAQ","USD","1.00","USD","-"
"TWST","TWIST BIOSCIENCE CORP","Health Care","Equity","22,097,222.18","0.27","22,097,222.18","438,611.00","50.38","United States","NASDAQ","USD","1.00","USD","-"
"TARS","TARSUS PHARMACEUTICALS INC","Health Care","Equity","21,704,768.70","0.26","21,704,768.70","298,758.00","72.65","United States","NASDAQ","USD","1.00","USD","-"
"BEAM","BEAM THERAPEUTICS INC","Health Care","Equity","20,975,100.00","0.25","20,975,100.00","695,000.00","30.18","United States","NASDAQ","USD","1.00","USD","-"
"TVTX","TRAVERE THERAPEUTICS INC","Health Care","Equity","20,796,302.80","0.25","20,796,302.80","677,404.00","30.70","United States","NASDAQ","USD","1.00","USD","-"
"GPCR","STRUCTURE THERAPEUTICS ADR INC","Health Care","Equity","20,792,072.00","0.25","20,792,072.00","383,264.00","54.25","United States","NASDAQ","USD","1.00","USD","-"
"CNTA","CENTESSA PHARMACEUTICALS AMERICAN","Health Care","Equity","20,692,181.82","0.25","20,692,181.82","522,926.00","39.57","United Kingdom","NASDAQ","USD","1.00","USD","-"
